match_id,fase,fecha,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
16022830,"Liga 1, Apertura",2026-05-09,Club Atlético Grau,Cienciano,1,2,52%,48%,0.68,3.06,14,18,6,8,3,5,10,14,2,5,,,7,5,18,14,324,298,11,1
16022826,"Liga 1, Apertura",2026-05-10,Alianza Lima,Club Sporting Cristal,1,1,56%,44%,0.73,1.44,14,10,6,4,1,2,14,12,2,3,,,3,5,23,30,458,362,8,6
16022824,"Liga 1, Apertura",2026-05-10,Sport Huancayo,CD Juan Pablo II,2,1,57%,43%,1.75,0.74,17,4,7,1,8,5,13,12,1,2,,,0,5,12,12,363,280,7,7
16022822,"Liga 1, Apertura",2026-05-10,Comerciantes Unidos,Melgar,1,1,47%,53%,1.74,1.32,18,12,6,3,3,3,10,13,1,3,,,2,5,22,11,321,364,8,8
16022829,"Liga 1, Apertura",2026-05-10,Cusco FC,Los Chankas CYC,1,1,52%,48%,2.85,0.98,20,14,7,7,5,4,9,10,2,3,,,6,6,20,9,369,334,5,5
15655433,"Liga 1, Apertura",2026-03-21,Cienciano,FC Cajamarca,3,0,70%,30%,4.86,0.05,29,1,15,0,9,0,10,7,,,0,1,0,10,19,6,484,224,7,8
15655692,"Liga 1, Apertura",2026-03-21,CD Moquegua,Cusco FC,1,2,48%,52%,1.00,1.60,13,11,4,7,4,3,10,11,2,3,,,5,3,8,12,298,336,8,2
15655436,"Liga 1, Apertura",2026-03-21,Comerciantes Unidos,Universitario de Deportes,0,0,41%,59%,0.59,1.34,12,23,2,7,2,9,10,9,1,1,,,7,2,12,18,278,399,7,2
15655437,"Liga 1, Apertura",2026-03-21,Los Chankas CYC,Club Sporting Cristal,3,2,34%,66%,1.24,1.15,10,13,6,5,5,9,9,12,3,1,,,3,3,7,5,268,520,6,4
15655438,"Liga 1, Apertura",2026-03-21,Alianza Lima,CD Juan Pablo II,2,0,59%,41%,0.88,0.01,14,1,5,0,5,1,11,14,1,3,,,0,3,6,17,354,255,11,13
15655439,"Liga 1, Apertura",2026-03-22,Universidad Técnica de Cajamarca,Alianza Atlético de Sullana,1,1,51%,49%,1.06,1.92,9,10,4,4,3,4,15,1,3,1,,,3,3,17,10,389,369,9,5
15655435,"Liga 1, Apertura",2026-03-22,Club Atlético Grau,Deportivo Garcilaso,0,0,60%,40%,0.84,2.23,17,13,5,6,7,3,18,8,3,2,,,6,5,6,19,391,271,5,12
15655434,"Liga 1, Apertura",2026-03-22,Sport Boys,Sport Huancayo,3,0,50%,50%,1.91,0.86,15,13,5,3,7,2,26,8,1,3,,,3,3,28,24,388,406,14,6
15714336,"Liga 1, Apertura",2026-04-03,Club Sporting Cristal,CD Moquegua,1,2,78%,22%,1.83,1.41,11,10,4,5,10,2,6,14,1,3,,,3,3,9,20,561,158,5,12
